startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbnail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,La historia de Dbus-San Sebastián,,https://donostiaaumentada.com/wp-content/uploads/d-bus.jpg,,,https://donostiaaumentada.com/wp-content/uploads/d-bus.jpg,title,,,black
1886,8,28,,1886,8,28,,,La creación,Creación de la compañia del tranvía de San Sebastían,https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LUX.24331740.7055475/4710163.jpg,Imagen de San Sebastián 1880 Lux-in-Fine / Bridgeman Images,,https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LUX.24331740.7055475/4710163.jpg,,,,grey
1887,7,18,,1887,7,18,,,El primer trayecto,Inauguración del primer trayecto del tranvía se realizó entre La Concha y las cocheras de Ategorrieta,http://bertan.gipuzkoakultura.net/img/10/grandes/123.jpg,Tranvía eléctrico de San Sebastián/ pagina web de gipuzkoakultura,,http://bertan.gipuzkoakultura.net/img/10/grandes/123.jpg,,,,black
1948,7,19,,1948,7,19,,,Los primeros trolebuses,Inauguración de los primeros trolebuses de la compañia del tranvia de San Sebastián. San Sebastián sigue el ejemplo de Londres e introducirá también carritos de dos pisos.,https://www.youtube.com/watch?v=uDlh0XrT5fY,Reportaje de 1961,,https://www.youtube.com/watch?v=uDlh0XrT5fY,,,,grey
1968,12,31,,1968,12,31,,,Los autobuses gasolina,Los primeros autobuses diésel circulan por las calles de San Sebastián,https://i.pinimg.com/originals/5b/fb/45/5bfb45c7db291b26631ade1af978b46e.jpg,Autobús de la CTSS. Años 80/ Pinterest Marijo Rodríguez de Aspiunza,,https://i.pinimg.com/originals/5b/fb/45/5bfb45c7db291b26631ade1af978b46e.jpg,,,,black
1973,12,19,,1973,12,19,,,Fin de los trolebúses,"Detención de la circulación de trolebús que funciona con la electricidad. A partir de entonces, sólo se utilizaron autobuses diésel. ",http://1.bp.blogspot.com/-F3lTi6NmNVE/Vl916hWTRaI/AAAAAAAALbs/Q0DrBhG679M/s1600/but%2B01.jpg,rolebús BUT Nº 43 de San Sebastián. Fotografía de Jean-Henry Manara,,http://1.bp.blogspot.com/-F3lTi6NmNVE/Vl916hWTRaI/AAAAAAAALbs/Q0DrBhG679M/s1600/but%2B01.jpg,,,,grey
1981,9,30,,1981,9,30,,,El ayuntamiento toma el control,El ayuntamiento de San Sebastián compra casi todo el capital de la empresa CTSS (compañia del tranvía de San Sebastián). El Ayuntamiento de San Sebastián sigue teniendo el 100% de las acciones de la empresa de transportes.,http://www.revistasansebastian.com/images_noticias/grandes/1485015338p.jpg,Fachada del ayuntamiento de san sebastián,,http://www.revistasansebastian.com/images_noticias/grandes/1485015338p.jpg,,,,black
2003,9,1,,2003,9,1,,,Cambio de local,"La empresa se traslada a Marrutxipi, en el barrio de Gros. Los locales son más modernos y están mejor adaptados para albergar todos los vehículos de la empresa. ",https://static3.diariovasco.com/www/multimedia/202103/26/media/cortadas/parking%20cocheras1-kEjH-U130956818412goF-624x385@Diario%20Vasco.jpg,El nuevo aparcamiento exterior. / JUANTXO LUSA,,https://static3.diariovasco.com/www/multimedia/202103/26/media/cortadas/parking%20cocheras1-kEjH-U130956818412goF-624x385@Diario%20Vasco.jpg,,,,grey
2005,,,,2005,,,,,Cambio de nombre,Desde este año CTSS cambia su nombre y se llamara DBUS,https://www.dbus.eus/wp-content/uploads/2018/10/logo_Dbus_compania.jpg,Logo de Dbus/ Pagina Web,,https://www.dbus.eus/wp-content/uploads/2018/10/logo_Dbus_compania.jpg,,,,black
2011,,,,2011,,,,,Primer autobús híbrido,"Para ser más respetuosa con el medio ambiente, la empresa está invirtiendo en autobuses híbridos. Estos autobuses combinan el uso de electricidad y gasolina.",https://www.youtube.com/watch?v=1Bj108GW8mg,Youtube/ Video del ayuntamiento de San Sebastián,,https://www.youtube.com/watch?v=1Bj108GW8mg,,,,grey
2014,,,,2014,,,,,Primer autobús 100% electrico,"Las baterías son cada vez más eficientes. Responden mejor a las necesidades de autonomía de la empresa. Por lo tanto, las pruebas se están llevando a cabo desde 2014",https://static.diariovasco.com/www/multimedia/202104/13/media/cortadas/dbus-man-kULD-U14041213319T4F-624x385@Diario%20Vasco.jpg,El nuevo autobús 100% eléctrico se probará durante unas dos semanas en Donostia. / D. U.,,https://static.diariovasco.com/www/multimedia/202104/13/media/cortadas/dbus-man-kULD-U14041213319T4F-624x385@Diario%20Vasco.jpg,,,,black
2035,,,,,,,,,Fin de los vehiculos diesel,"Según las previsiones de la empresa, 2035 será un punto de inflexión. Todos los vehículos en servicio serán híbridos o 100% eléctricos. Este nuevo equipamiento reducirá las emisiones de CO2 en San Sebastián.",https://www.youtube.com/watch?v=mZF7NZcdJ8c,Reportaje Eitb/ Youtube-2018,,https://www.youtube.com/watch?v=mZF7NZcdJ8c,,,,grey
