startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbnail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Balleneros vascos,,,,,,,,https://ep00.epimg.net/verne/imagenes/2015/04/29/articulo/1430289393_692828_1430290692_noticia_normal.jpg,
"<span style=""color:black !important"">-3000</span>",,,,-3000,,,,,"<span style=""color:black !important"">Hace muchos años</span>","<span style=""color:black !important"">Los primeros registros de caza de ballenas datan del año 3000 antes de Cristo. El ejemplo más antiguo (fechado entre el año 6000 y el año 1000 a. C.) son los <a href=""https://es.wikipedia.org/wiki/Petroglifos_de_Bangudae"">Petroglifos de Bangudae</a>, unos grabados en roca situados en los acantilados en la orilla de la corriente Daegokcheon. Forman parte del tesoro nacional de Corea del Sur, y muestran imágenes de pesca costera con arpón, y del aprovechamiento de restos de ballenas varadas.</span>",https://tongglobalcdn.visitkorea.or.kr/cms/resource/97/2675597_image2_1.jpg,"<a href=""https://ko.wikipedia.org/wiki/%ED%8C%8C%EC%9D%BC:Bangudae_Petroglyphs.jpg"">Wikipedia</a>",Petroglifos de Bangudae,,,,,#d1eef1
1180,,,,1180,,,,,Barbas de ballena,"El rey Sancho el Sabio de Navarra concede ciertos privilegios a  Donostia a través de un fuero, y entre los bienes que deben pagar derechos de almacenamiento se encuentran las barbas de ballenas, evidenciando su valor.",https://soundcloud.com/user-933574047-852803779/itsas-museoa-2/s-RsbMJTYLT3R?si=8f9cf355e9ce477291cb343c906c065a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,"<a href=""https://itsasmuseoa.eus/"">Euskal Itsas Museoa</a>","Xabier Alberdi, director del Euskal Itsas Museoa. Barbas de ballena",,,,,#54c6cc
1237,9,28,,1237,,,,,Una rodaja a pagar,"El rey <a href=""https://dbe.rah.es/biografias/10090/fernando-iii"">Fernando III de Castilla</a> emite una orden real, dando privilegios similares a los del fuero de Donostia. Esta orden real incluye también que el Rey deberá tener una rodaja de cada ballena, siguiendo la columna vertebral, de cabeza a la cola.",,,,,,,,#54878b
1501,,,,1600,,,,,,"Los pescadores vascos se convirtieron en el mayor proveedor de productos de ballena y bacalao en el siglo XVI.",,,,,,,https://images.ecestaticos.com/9NGYyqf6lw5I2f1EGeGsT4VuCC8=/0x0:1996x1502/600x450/filters:fill(white):format(jpg)/f.elconfidencial.com%2Foriginal%2Fc45%2F2db%2F532%2Fc452db532161c895d7e70d8f69d2f575.jpg,
1563,,,,1563,,,,,San Juan,"Se construyó el ballenero San Juan en Pasaia, Gipuzkoa. En 1565, este se hundió en las costas de Canadá. Es uno de los primeros barcos mercantes transoceánicos, y el mejor conservado de la época, que llevó a los marineros euskaldunas al Atlántico Norte. Ahora, es el símbolo del Patrimonio Marítimo Subacuático Mundial de la UNESCO. Además, <a href=""https://albaola.org/"">Albaola</a> está construyendo una réplica del ballenero, Nao San Juan, que navegará hasta Bahía Roja.",https://static.elcorreo.com/www/multimedia/202106/15/media/cortadas/xabier-agote-kmPI-U14070618229371C-1248x770@El%20Correo.jpg,"<a href=""https://www.elcorreo.com/alava/araba/juan-barco-emblematico-20210615180618-nt.html"">El Correo</a>",Construcción de la réplica,,,,,#599b9f
1580,,,,1580,,,,,Sin barcos,"La Corona española empezó a requisar barcos pesqueros para su flota. Por ejemplo, en 1574, tres barcos pesqueros de Deba, Mutriku, y Ondarroa fueron requisados para una armada que se estaba formando en Santander. No pudieron llevar a cabo sus rutas de pesca de bacalao. Como resultado de estos “préstamos” a la Corona, los viajes de los balleneros vasco-españoles a Terranova disminuyeron, haciendo que los vasco-franceses (de Iparralde) pudiesen importar mucho más bacalao y aceite de ballena.",,,,,,,,
"<span style=""color:black !important"">1611</span>",,,,1800,,,,,,"<span style=""color:black !important"">Gran parte de la caza de ballenas holandesa se centró en la isla de Spitsbergen. La primera ruta de caza de ballenas no fue muy rentable, dado que no había conocimiento de caza y aprovechamiento de la ballena. Sin embargo, para la segunda ruta, contrataron a balleneros vascos que les enseñasen su método de caza.</span>",https://soundcloud.com/user-933574047-852803779/itsas-museoa-1/s-h7XLTjyoUYt?si=8f9cf355e9ce477291cb343c906c065a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,"<a href=""https://itsasmuseoa.eus/"">Euskal Itsas Museoa</a>","Entrevista con Xabier Alberdi, director del Euskal Itsas Museoa",,,,,#d1eef1
1612,,,,1612,,,,,Cartografía,"Fechados en 1612, hay mapas de Terranova en los que ya está presente la ciudad Port-aux-Basques, vestigio de las rutas balleneras.  Asimismo, cuando los exploradores franceses llegaron a Terranova, los indígenas del lugar utilizaban una frase habitual de los marineros vascos al ser preguntados por su salud: “Apezak hobeto!” (“¡Los curas mejor!”). ",,,,,,,,#54878b
1615,,,,1615,,,,,La matanza de los españoles,"Un grupo de balleneros vascos, en expedición de caza, tuvo que pasar el invierno en Islandia. Sus buques habían sido destrozados por un temporal. La mayor parte de la tripulación se marchó a casa tras pasar el invierno. Sin embargo,  la tripulación de Martín de Villafranca se quedó. A pesar de que los islandeses y los vascos tenían un acuerdo mutuo, la hostilidad de los primeros hacia los segundos fue creciendo. Los vascos fueron considerados criminales por sus fechorías. Decidieron ejecutarlos, según el libro de legislación islandesa de 1281. 32 guipuzcoanos fueron asesinados.  Este incidente se conoce como ""matanza de los españoles"", Spánverjavígin, en islandés.",,,,,,,,#599b9f
1647,,,,1647,,,,,"Colón o vascos, ¿quién llegó primero?","Se publica Us et Coutumes de la Mer, escrita por el jurista Étienne Cleirac. Este libro ha sido usado como prueba a favor del argumento de que los balleneros vascos llegaron a América antes que Cristobal Colón. Recoge el libro que “un vasco advirtió a Cristóbal Colón de las Indias Occidentales, dándole a él la dirección”.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Cleirac_us-et-coustumes-de-la-mer-1647.jpg/220px-Cleirac_us-et-coustumes-de-la-mer-1647.jpg,"<a href=""https://fr.wikipedia.org/wiki/%C3%89tienne_Cleirac"">Wikipedia</a>",Página de Us et Coutumes de la Mer,,,,,#000000
1788,,,,1788,,,,,"<span style=""color:red !important"">Empezó con los vascos</span>","El presidente de Estados Unidos Thomas Jefferson dijo: “It started with the Basques”. A pesar de que otros grupos, como los Inuit, ya cazaban ballenas, el presidente hacía referencia a que fueron los balleneros vascos los que introdujeron la caza de ballenas al resto del mundo, a nivel comercial.",https://es.wikipedia.org/wiki/Thomas_Jefferson,"<a href=""https://es.wikipedia.org/wiki/Thomas_Jefferson"">Wikipedia</a>",,,,,https://monticello-www.s3.amazonaws.com/files/pages/wide-lrg-declaration-of-independence-1819-by-john-trumbull-2.jpg,
1878,2,11,,1878,,,,,La penúltima ballena,"El segundo sábado de febrero del 78 una ballena franca fue interceptada por embarcaciones getarianas, zarauztarras y una oriotarra. Fue arponeada en la zona Getaria desde uno de los barcos, pero en la zona de la línea costera de Zarautz. Hubo trifulcas y hasta un juicio por la propiedad de esta, pero antes de que se pronunciase un veredicto, esta se pudrió. Fue remolcada hasta Donostia durante el conflicto, y desde entonces permanece allí, en el Aquarium de San Sebastián, concretamente. ",https://drive.google.com/file/d/1E8QOijQWYUpFc8ftP39MskYA4YGqya9v/view?usp=sharing,Gostalde,La penúltima ballena cazada en el País Vasco.,,,,,#54878b
1901,5,14,,1901,,,,,La última ballena cazada en el País Vasco,"Se cazó la última ballena franca en Orio con dinamita, y se compuso una canción al respecto.
La última ballena capturada en el País Vasco fue cazada entre 55 hombres en 5 chalupas. En aquella época, ver cómo se descuartizaba un animal de esta envergadura era todo un espectáculo, por lo que grandes grupos se reunían en los puertos para presenciarlo. En este caso, se hizo uso de dinamita, y se tiene constancia de que se llegaron a habilitar trenes de San Sebastián a Orio para ver la última ballena capturada. ",https://sansebastian.me/wp-content/uploads/2021/04/Caza-ballenas-euskadi.jpg,Gostalde,La última ballena cazada.,,,,,
1927,,,,1927,,,,,,"La <a href=""https://es.wikipedia.org/wiki/Sociedad_de_las_Naciones"">Sociedad de las Naciones</a>, o League of Nations, fue la primera organización intergubernamental mundial con el objetivo principal de mantener la paz. Fue el precursor de Naciones Unidas. En 1927, la Sociedad de las Naciones celebra una conferencia sobre la caza de ballenas en Londres.",,,,,,,,#599b9f
1930,,,,1930,,,,,Contabilizar,"Se fundó la Oficina de Estadísticas de Caza de Ballenas Internacional en <a href=""https://es.wikipedia.org/wiki/Sandefjord"">Sandefjord, Noruega</a>, para así poder llevar cuenta de cuántos espécimenes se capturaban.",,,,,,,,#000000
"<span style=""color:black !important"">1937</span>",,,,1937,,,,,,"<span style=""color:black !important"">Se firma la Convención para la Regulación de la Caza de Ballenas en Londres. Empieza a recoger firmas en 1931, y en 1935 consigue las firmas necesarias para ratificarla. La Convención para la Regulación de la Caza de Ballenas es un acuerdo ambiental que tiene como objetivo conservar las ballenas y posibilitar el desarrollo controlado de la industria ballenera.</span>",https://upload.wikimedia.org/wikipedia/commons/a/aa/ICRW-signing-1946-US.jpg,"<a href=""https://en.wikipedia.org/wiki/International_Convention_for_the_Regulation_of_Whaling""> Wikipedia</a>",Se firma el documento,,,,,#d1eef1
1946,12,2,,1946,,,,,Caza regulada,"Se crea la <a href=""https://iwc.int/es/"">Comisión Ballenera Internacional (CBI)</a>, a través de la Convención (esta vez Internacional) para la Regulación de la Caza de Ballenas, firmado en Washington DC. La CBI es el organismo mundial encargado de la conservación de las ballenas y la gestión de la caza de ballenas. ",,,,,,,,#54878b
1972,,,,1972,,,,,Selma Huxley,"Selma Huxley fue una historiadora canadiense de relevancia internacional gracias a sus trabajos en los campos de la historia marítima del País Vasco y Canadá. A través de sus trabajos se logró reconstruir, en cierta medida, la historia que une el país norteamericano y Euskadi. 

Huxley descubrió que en el siglo XVI existió una industria ballenera en la región canadiense de Labrador, con puertos balleneros, restos arqueológicos, y demostró la presencia de embarcaciones vascas hundidas en dichos puertos, estando entre ellos el San Juan de Pasajes de 1956, la Madalena de Motrico (Mutriku en euskara) de 1565, y la María de San Sebastián de 1572.",https://www.youtube.com/watch?v=qvGpBJmBC20,"<a href=""https://www.youtube.com/@GoienaKomunikazioTaldea""> Goieana Komunikazio Taldea</a>",Selma Huxley Barkhamek hamarkadatan egindako lanari aitortza Oñatin,,,,,
1982,,,,1982,,,,,El cementerio en Bahía Roja,"En 1982 se descubrió un cementerio en el extremo oriental de la isla de Saddle, en el puerto de Bahía Roja (Red Bay). La mayoría de las tumbas estaban hechas a tan solo 30 centímetros por debajo de la superficie del suelo en un área rodeada de rocas. Las excavaciones que se llevaron a cabo desenterraron un total de sesenta y tres tumbas que contenían aproximadamente 140 individuos. Se continúa desconociendo la causa del fallecimiento de estos pescadores vascos, pero una de las teorías apunta a que los duros inviernos que tuvieron lugar entre 1574 y 1577 y 1604 y 1605 causaron la aparición de hielo en los galeones, dejándolos atrapados en la isla con pocas provisiones y pocos recursos para combatir el frío. ","https://www.google.es/maps/place/Saddle+Island,+Red+Bay,+Terranova+y+Labrador+A0K+4K0,+Canad%C3%A1/@51.7280169,-56.7030378,10z/data=!4m5!3m4!1s0x4b813b32d9d8a231:0xccb39b57ebad0418!8m2!3d51.7280177!4d-56.4228864",Google Maps,Isla de Saddle,,,,,#599b9f
1986,,,,1986,,,,,Prohibido cazar,"La Comisión Ballenera Internacional prohíbe la caza comercial de ballenas.",,,,,,,,#000000
2013,6,,,2013,,,,,"Bahía Roja, Patrimonio de la Humanidad","La <a href=""https://whc.unesco.org/en/list/1412/"">estación ballenera vasca de Bahía Roja (Red Bay)</a>, en Canadá, es nombrada Patrimonio de la Humanidad por la <a href=""https://whc.unesco.org/"">UNESCO (Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura)</a>. Nombrada Gran Baya por sus fundadores, es, según la UNESCO, el testimonio de la tradición ballenera europea más antiguo, completo, y mejor conservado.",https://www.newfoundlandlabrador.com/-/media/marquees/top-destinations/red-bay/red-bay/red-bay-main-header.jpg?mh=960&mw=1280&hash=A907CAA3A04E82E39F1DFC2D6D44BBE61DC5E99A,"<a href=""https://www.newfoundlandlabrador.com/-/media/marquees/top-destinations/red-bay/red-bay/red-bay-main-header.jpg?mh=960&mw=1280&hash=A907CAA3A04E82E39F1DFC2D6D44BBE61DC5E99A"">New Found & Labrador</a>",,,,,,#54c6cc
2016,5,26,,2016,,,,,Balea,"El compositor y pianista Gabriel Loidi crea “Balea”, una obra compuesta para soprano, barítono, coro y orquesta, que narra los hechos de la última caza de una ballena en el Cantábrico, que tuvo lugar el 14 de mayo de 1901 en Orio. ",https://www.youtube.com/watch?v=dsbg8TNiL_4,,,,,,,#599b9f
"<span style=""color:black !important"">2022</span>",,,,2022,,,,,,"<span style=""color:black !important"">Este diciembre de 2022 se cumplen diez años del <a href=""https://www.diariovasco.com/20121207/local/rescatan-cadaver-ballena-concha-201212070731.html"">naufragio de una ballena en la costa donostiarra</a>. El 3 de diciembre de 2012 aparecía un ejemplar de rorcual de casi 17 metros y 23 toneladas en las aguas de la  Bahía de la Concha. Tras un día varada en el agua y dos más en la arena, el cetáceo falleció. Durante esas 72 horas, cientos de locales y turistas se acercaron a la playa para ver a la ballena, que finalmente fue trasladada a Zubieta. Sin embargo, a día de hoy, sus restos siguen ser reclamados por ninguna entidad. Ni siquiera el Aquarium de Donostia, que exhibe desde el año 1934 el esqueleto de la penúltima ballena que se capturó en las costas vascas en 1878.</span>",,,,,,,,#d1eef1
